x,y,x_orig,y_orig
126.33333333333333,116.0,126.33333333333333,116.0
126.66666666666667,116.0,126.66666666666667,116.0
127.0,116.0,127.0,116.0
127.33333333333333,116.0,127.33333333333333,116.0
127.66666666666667,116.0,127.66666666666667,116.0
126.0,116.33333333333333,126.0,116.33333333333333
126.33333333333333,116.33333333333333,126.33333333333333,116.33333333333333
126.66666666666667,116.33333333333333,126.66666666666667,116.33333333333333
127.0,116.33333333333333,127.0,116.33333333333333
127.33333333333333,116.33333333333333,127.33333333333333,116.33333333333333
127.66666666666667,116.33333333333333,127.66666666666667,116.33333333333333
126.0,116.66666666666667,126.0,116.66666666666667
126.33333333333333,116.66666666666667,126.33333333333333,116.66666666666667
126.66666666666667,116.66666666666667,126.66666666666667,116.66666666666667
127.0,116.66666666666667,127.0,116.66666666666667
127.33333333333333,116.66666666666667,127.33333333333333,116.66666666666667
127.66666666666667,116.66666666666667,127.66666666666667,116.66666666666667
128.0,116.66666666666667,128.0,116.66666666666667
128.33333333333334,116.66666666666667,128.33333333333334,116.66666666666667
126.0,117.0,126.0,117.0
126.33333333333333,117.0,126.33333333333333,117.0
126.66666666666667,117.0,126.66666666666667,117.0
127.0,117.0,127.0,117.0
127.33333333333333,117.0,127.33333333333333,117.0
127.66666666666667,117.0,127.66666666666667,117.0
128.0,117.0,128.0,117.0
128.33333333333334,117.0,128.33333333333334,117.0
126.0,117.33333333333333,126.0,117.33333333333333
126.33333333333333,117.33333333333333,126.33333333333333,117.33333333333333
126.66666666666667,117.33333333333333,126.66666666666667,117.33333333333333
127.0,117.33333333333333,127.0,117.33333333333333
127.33333333333333,117.33333333333333,127.33333333333333,117.33333333333333
127.66666666666667,117.33333333333333,127.66666666666667,117.33333333333333
128.0,117.33333333333333,128.0,117.33333333333333
128.33333333333334,117.33333333333333,128.33333333333334,117.33333333333333
128.66666666666666,117.33333333333333,128.66666666666666,117.33333333333333
126.0,117.66666666666667,126.0,117.66666666666667
126.33333333333333,117.66666666666667,126.33333333333333,117.66666666666667
126.66666666666667,117.66666666666667,126.66666666666667,117.66666666666667
127.0,117.66666666666667,127.0,117.66666666666667
127.33333333333333,117.66666666666667,127.33333333333333,117.66666666666667
127.66666666666667,117.66666666666667,127.66666666666667,117.66666666666667
128.0,117.66666666666667,128.0,117.66666666666667
